Base Time,Confirmation Time,Confirmation Index,Type,Trend
2024-04-22 23:59:59.999,2024-05-03 07:59:59.999,193,Bear,bullish
2024-05-01 15:59:59.999,2024-05-12 03:59:59.999,246,Bull,bullish
2024-05-20 23:59:59.999,2024-05-25 23:59:59.999,329,Bear,bearish
2024-05-27 15:59:59.999,2024-06-02 07:59:59.999,373,Bear,bullish
2024-05-31 15:59:59.999,2024-06-07 07:59:59.999,403,Bull,bearish
2024-05-31 15:59:59.999,2024-06-09 03:59:59.999,414,Bull,bearish
2024-06-20 11:59:59.999,2024-06-26 11:59:59.999,518,Bear,bearish
2024-06-24 19:59:59.999,2024-06-29 19:59:59.999,538,Bull,bullish
2024-07-01 03:59:59.999,2024-07-07 03:59:59.999,582,Bear,bullish
2024-07-12 03:59:59.999,2024-07-19 03:59:59.999,654,Bull,bullish
2024-07-18 15:59:59.999,2024-07-24 11:59:59.999,686,Bull,bullish
2024-07-25 03:59:59.999,2024-07-31 03:59:59.999,726,Bull,bearish
2024-07-29 11:59:59.999,2024-08-07 03:59:59.999,768,Bear,bullish
2024-07-29 11:59:59.999,2024-08-09 11:59:59.999,782,Bear,bearish
2024-08-19 11:59:59.999,2024-08-25 23:59:59.999,881,Bull,bearish
2024-08-24 07:59:59.999,2024-08-29 23:59:59.999,905,Bear,bearish
2024-08-29 15:59:59.999,2024-09-03 15:59:59.999,933,Bear,bearish
2024-09-02 23:59:59.999,2024-09-08 15:59:59.999,963,Bear,bullish
2024-09-02 23:59:59.999,2024-09-10 15:59:59.999,975,Bear,bullish
2024-09-16 15:59:59.999,2024-09-21 19:59:59.999,1042,Bull,bullish
2024-10-02 19:59:59.999,2024-10-09 07:59:59.999,1147,Bull,bullish
2024-11-04 23:59:59.999,2024-11-15 11:59:59.999,1370,Bull,bullish
2024-11-17 23:59:59.999,2024-11-24 03:59:59.999,1422,Bull,bearish
2024-11-22 07:59:59.999,2024-11-28 11:59:59.999,1448,Bear,bullish
2024-11-26 19:59:59.999,2024-12-03 15:59:59.999,1479,Bull,bullish
2024-06-05 23:59:59.999,2024-07-18 23:59:59.999,108,Bear,bearish
2024-08-05 23:59:59.999,2024-09-04 23:59:59.999,156,Bull,bullish
2024-09-06 23:59:59.999,2024-10-08 23:59:59.999,190,Bull,bullish
2024-06-05 23:59:59.999,2024-07-18 23:59:59.999,108,Bear,bearish
2024-06-05 23:59:59.999,2024-07-18 23:59:59.999,108,Bear,bearish
2024-06-05 23:59:59.999,2024-07-18 23:59:59.999,108,Bear,bearish
2024-06-05 23:59:59.999,2024-07-18 23:59:59.999,108,Bear,bearish
2024-06-05 23:59:59.999,2024-07-18 23:59:59.999,108,Bear,bearish
